OSM,Gottingen,Change
Oberdorf,Über dem Dorfe,False
Grabenbreite,Traubenbreite,False
Hohe-Rott-Weg,Sophie-Kunert-Weg,False
Lindenhof,Lehnshof,False
Fahlenbuschstraße,Blumenbachstraße,False
Dorfstraße,Dürrstraße,False
Im Sieke,Im Beeke,False
Am Junkernberge,Am Winterberg,False
Dermeckestraße,Merkelstraße,False
Olenhusener Landstraße,Reinhäuser Landstraße,False
Heinestraße,Leinestraße,False
Thorner Straße,Groner Straße,False
Über der Lehmkuhle,In der Lehmkuhle,False
Aeckernweg,Zedernweg,False
Brennewiensgasse,Brunnengasse,False
Hainbergsweg,Hardenbergweg,False
Am roten Berge,Am Warteberge,False
Taubenbrunnen,Traubenbreite,False
Kleine Grundstraße,Klinkerfuesstraße,False
Alte Dorfstrasse,Untere Dorfstraße,False
Thiegasse,Schildgasse,False
Kleebreite,Kommendebreite,False
Göttingen Ost,Böttingerstraße,False
Vorderdorfstraße,Roedererstraße,False
Obere Straße,Oberstraße,False
Mackenröder Trail,Mackenröder Spitze,False
Haselweg,Hasenweg,False
Hinter den Hagen,Unterm Hagen,False
Mittelbergstraße,Mittelstraße,False
In der Kamplage,In der Klappe,False
Am Rieper Berg,Roter Berg,False
Hinter den Höfen,Über den Höfen,False
Maienweg,Salinenweg,False
Gatzenborn,Am Stratenborn,False
An der Bahn,An der Seune,False
Taubenbrunnenweg,Tannenweg,False
Liegnitzer Straße,Chemnitzer Straße,False
Kampweg,Kaakweg,False
Obere Kirchstraße,Kirchstraße,False
Kleperstieg,Kleestieg,False
Am Kampe,Am Dörpe,False
Maschweg,Maschmühlenweg,False
Grütterstraße,Gartenstraße,False
Hohlweg,Kohlweg,False
An der Grantbreite,In der Querbreite,False
Goetheallee,Goethe-Allee,True
